20250905T,0,1000,0,268.57,0
20250906T,0,1000,0,268.57,0
20250907T,0,1000,0,268.57,0
20250908T,0,1000,0,268.57,0
20250909T,0,1000,0,268.57,0
20250910T,0,1000,0,126.04,0
20250911T,0,1000,0,126.04,0
20250912T,0,1000,0,126.04,0
20250913T,0,1000,0,126.04,0
20250914T,0,1000,0,126.04,0
20250915T,0,1000,0,100.06,0
20250916T,0,1000,0,100.06,0
20250917T,0,1000,0,100.06,0
20250918T,0,1000,0,100.06,0
20250919T,0,1000,0,100.06,0
20250920T,0,1000,0,93.03,0
20250921T,0,1000,0,93.03,0
20250922T,0,1000,0,93.03,0
20250923T,0,1000,0,93.03,0
20250924T,0,1000,0,93.03,0
20250925T,0,1000,0,88.27,0
20250926T,0,1000,0,88.27,0
20250927T,0,1000,0,88.27,0
20250928T,0,1000,0,88.27,0
20250929T,0,1000,0,88.27,0
20250930T,0,1000,0,77.85,0
20251001T,0,1000,0,77.85,0
20251002T,0,1000,0,77.85,0
20251003T,0,1000,0,77.85,0
20251004T,0,1000,0,77.85,0
20251005T,0,1000,0,59.47,0
20251006T,0,1000,0,59.47,0
20251007T,0,1000,0,59.47,0
20251008T,0,1000,0,59.47,0
20251009T,0,1000,0,59.47,0
